date, pm25, pm10, o3, no2, co
2019/1/30, 199, 109, 25, 4, 39
2019/1/31, 194, 139, 24, 4, 37
2019/2/1, 198, 142, 16, 5, 28
2019/2/2, 186, 111, 17, 4, 41
2019/2/3, 147, 110, 25, 4, 41
2019/2/4, 156, 100, 33, 4, 39
2019/2/5, 184, 116, 24, 4, 2
2019/2/6, 177, 61, 9, 4, 1
2019/2/7, 141, 113, 9, 5, 1
2019/2/8, 135, 83, 9, 5, 
2019/2/9, 118, 134, 5, 5, 2
2019/2/10, 178, 155, 12, 5, 4
2019/2/11, 169, 205, 13, 5, 5
2019/2/12, 194, 213, 11, 5, 5
2019/2/13, 205, 148, 14, 4, 3
2019/2/14, 181, 115, 11, 1, 2
2019/2/15, 160, 102, 13, 5, 1
2019/2/16, 163, 83, 14, 6, 1
2019/2/17, 144, , , , 
2019/2/20, 131, 92, 23, 6, 
2019/2/21, 127, 80, 19, 6, 1
2019/2/22, 113, 67, 25, 6, 
2019/2/23, 94, 88, 28, 6, 1
2019/2/24, 123, 106, 31, 6, 2
2019/2/25, 137, 68, 20, 7, 
2019/2/26, 106, 61, 21, 8, 
2019/2/27, 92, 84, 24, 8, 2
2019/2/28, 118, 109, 26, 9, 2
2019/3/1, 120, 104, 15, 10, 2
2019/3/2, 143, 45, 18, 10, 1
2019/3/3, 51, 89, 22, 8, 2
2019/3/4, 145, 74, 10, 8, 1
2019/3/5, 126, 88, 25, 1, 1
2019/3/6, 114, 113, 29, 2, 3
2019/3/7, 126, 110, 29, 2, 3
2019/3/8, 132, 118, 4, 2, 2
2019/3/9, 160, , , , 
2019/3/12, 104, 128, 20, 2, 1
2019/3/13, 150, 128, 17, 2, 4
2019/3/14, 147, 92, 23, 2, 2
2019/3/15, 115, 86, 26, 3, 1
2019/3/16, 144, 97, 28, 2, 2
2019/3/17, 115, 109, 31, 2, 2
2019/3/18, 128, 145, 27, 2, 2
2019/3/19, 143, 130, 24, 2, 2
2019/3/20, 148, 162, 38, 2, 5
2019/3/21, 172, 85, 24, 2, 
2019/3/22, 100, 64, 25, 3, 1
2019/3/23, 76, 98, 25, 3, 1
2019/3/24, 92, 94, 22, 3, 1
2019/3/25, 114, 101, 28, 3, 1
2019/3/26, 123, 107, 30, 3, 1
2019/3/27, 121, 120, 31, 3, 2
2019/3/28, 138, 154, 32, 3, 5
2019/3/29, 169, 85, 28, 4, 1
2019/3/30, 81, 94, 26, 4, 1
2019/3/31, 135, 98, 29, 3, 
2018/11/30, 230, 180, 18, 13, 6
2018/12/1, 253, , 34, 9, 5
2018/12/3, 177, 152, 33, 12, 6
2018/12/4, 223, 185, 3, 11, 8
2018/12/5, 264, 107, 3, 9, 7
2018/12/6, 179, 212, 3, 11, 7
2018/12/7, 256, 177, 3, 12, 8
2018/12/8, 251, 289, 3, 11, 11
2018/12/9, 300, 203, 12, 24, 6
2018/12/10, 274, 229, 18, 26, 7
2018/12/11, 299, , , , 
2018/12/15, 173, 123, 15, 34, 3
2018/12/16, 152, 166, 17, 20, 5
2018/12/17, 175, 163, 19, 6, 3
2018/12/18, 214, 152, 18, 7, 2
2018/12/19, 192, 151, 22, 6, 3
2018/12/20, 195, , , , 
2018/12/25, 285, 166, 16, 10, 3
2018/12/26, 222, 156, 20, 6, 4
2018/12/27, 212, 214, 17, 4, 8
2018/12/28, 258, 230, 16, 8, 7
2018/12/29, 245, 180, 18, 7, 7
2018/12/30, 230, , , , 
2019/12/31, , 303, 28, 4, 30
2019/10/11, , 92, 32, 10, 34
2019/12/22, , 139, 17, 6, 18
2019/8/13, , 44, 26, 4, 5
2019/8/18, , 90, 17, 6, 7
2019/8/26, , 61, 18, 4, 4
2019/9/25, , 69, 12, 5, 15
2019/6/22, , 77, 28, 54, 6
2018/12/31, , 245, 18, 10, 9
2019/1/15, , 177, 34, 9, 21
2019/2/19, , 102, 16, 6, 1
2019/3/11, , 76, 27, 2, 1
2018/11/29, , 183, 21, 12, 5
2018/12/2, , 113, 37, 11, 4
2018/12/14, , 122, 16, 34, 3
2018/12/24, , 299, 7, 9, 6
2019/10/9, , , 25, 31, 23
